date,price
2022-06-21,76.240215
2022-06-22,77.280301
2022-06-23,77.675078
2022-06-24,77.123146
2022-06-27,76.764556
2022-06-28,76.501699
2022-06-29,77.264484
2022-06-30,77.753852
2022-07-01,77.674802
2022-07-05,78.360273
2022-07-06,77.514627
2022-07-07,77.341671
2022-07-08,76.794597
2022-07-11,77.656023
2022-07-12,78.053293
2022-07-13,78.453754
2022-07-14,78.084795
2022-07-15,78.485417
2022-07-18,78.404960
2022-07-19,78.132459
2022-07-20,78.436901
2022-07-21,79.425882
2022-07-22,80.335228
2022-07-25,79.652462
2022-07-26,79.866698
2022-07-27,80.081782
2022-07-28,79.898403
2022-07-29,80.614508
2022-08-01,81.137109
2022-08-02,80.544040
2022-08-03,80.761776
2022-08-04,80.980379
2022-08-05,79.788918
2022-08-08,80.703868
2022-08-09,80.417459
2022-08-10,80.333076
2022-08-11,79.453779
2022-08-12,79.963829
2022-08-15,80.479089
2022-08-16,80.194329
2022-08-17,79.812122
2022-08-18,79.927326
2022-08-19,78.861030
2022-08-22,78.490156
2022-08-23,78.314074
2022-08-24,77.852655
2022-08-25,78.826537
2022-08-26,78.939757
2022-08-29,78.183668
2022-08-30,78.487471
2022-08-31,78.024602
2022-09-01,76.629699
2022-09-02,77.016954
2022-09-06,75.562140
2022-09-07,76.396668
2022-09-08,76.138162
2022-09-09,76.246102
2022-09-12,75.897585
2022-09-13,75.642289
2022-09-14,76.021299
2022-09-15,75.946859
2022-09-16,75.420714
2022-09-19,75.347583
2022-09-20,74.828872
2022-09-21,75.469397
2022-09-22,74.154239
2022-09-23,74.171008
2022-09-26,73.236491
2022-09-27,71.904676
2022-09-28,72.588058
2022-09-29,72.102916
2022-09-30,71.788498
2022-10-03,72.721058
2022-10-04,73.331540
2022-10-05,72.584507
2022-10-06,72.517532
2022-10-07,71.950731
2022-10-11,71.146946
2022-10-12,71.002004
2022-10-13,70.456223
2022-10-14,70.234603
2022-10-17,70.093374
2022-10-18,70.189765
2022-10-19,69.420855
2022-10-20,68.743372
2022-10-21,68.077618
2022-10-24,67.944979
2022-10-25,68.869904
2022-10-26,69.659916
2022-10-27,70.227341
2022-10-28,70.086433
2022-10-31,69.632363
2022-11-01,70.357262
2022-11-02,70.454053
2022-11-03,70.074892
2022-11-04,69.621298
2022-11-07,69.250327
2022-11-08,69.811560
