date,price
2023-01-17,72.369743
2023-01-18,73.710894
2023-01-19,73.316037
2023-01-20,72.130881
2023-01-23,71.750671
2023-01-24,72.675539
2023-01-25,72.685886
2023-01-26,72.696235
2023-01-27,72.442523
2023-01-30,72.190403
2023-01-31,72.331744
2023-02-01,73.670565
2023-02-02,73.680852
2023-02-03,72.619262
2023-02-06,72.104017
2023-02-07,71.466079
2023-02-08,71.734210
2023-02-09,71.102003
2023-02-10,70.103265
2023-02-13,70.613785
2023-02-14,70.373120
2023-02-15,69.885441
2023-02-16,69.037533
2023-02-17,69.535146
2023-02-21,68.334349
2023-02-22,68.823546
2023-02-23,69.562404
2023-02-24,68.963386
2023-02-27,68.974037
2023-02-28,68.984691
2023-03-01,68.514037
2023-03-02,67.812879
2023-03-03,69.374433
2023-03-06,69.141579
2023-03-07,69.639942
2023-03-08,69.650562
2023-03-09,69.661184
2023-03-10,71.932336
2023-03-13,71.942802
2023-03-14,71.053165
2023-03-15,71.960357
2023-03-16,71.841257
2023-03-17,73.294125
2023-03-20,72.639742
2023-03-21,71.606395
2023-03-22,72.263950
2023-03-23,72.536251
2023-03-24,72.810173
2023-03-27,71.128821
2023-03-28,71.139363
2023-03-29,71.022913
2023-03-30,71.543112
2023-03-31,72.459823
2023-04-03,72.865086
2023-04-04,73.407496
2023-04-05,73.956499
2023-04-06,74.238849
2023-04-10,73.167852
2023-04-11,73.178269
2023-04-12,72.922875
2023-04-13,72.275179
2023-04-14,71.637379
2023-04-17,70.756016
2023-04-18,71.018924
2023-04-19,71.029506
2023-04-20,71.549154
2023-04-21,71.176525
2023-04-24,71.826321
2023-04-25,72.879174
2023-04-26,72.232704
2023-04-27,71.467635
2023-04-28,72.642074
2023-05-01,70.464187
2023-05-02,71.995463
2023-05-03,72.265580
2023-05-04,71.886695
2023-05-05,71.511307
2023-05-08,70.508088
2023-05-09,70.393937
2023-05-10,71.031370
2023-05-11,71.935061
2023-05-12,71.303537
2023-05-15,70.556000
2023-05-16,70.192928
2023-05-17,70.079824
2023-05-18,69.721117
2023-05-19,69.244204
2023-05-22,69.013393
2023-05-23,69.144683
2023-05-24,69.034837
2023-05-25,68.566277
2023-05-26,69.175793
2023-05-30,69.916704
2023-05-31,70.546156
2023-06-01,70.681846
2023-06-02,70.193939
2023-06-05,70.081012
2023-06-06,70.339197
2023-06-07,69.365995
2023-06-08,70.109809
2023-06-09,70.120529
2023-06-12,70.378860
2023-06-13,69.527119
2023-06-14,70.027122
2023-06-15,70.657567
2023-06-16,70.543355
2023-06-20,70.929543
2023-06-21,71.192532
2023-06-22,70.324384
2023-06-23,71.084663
2023-06-26,70.969216
